key,value,comment
UI_REMOVE_ITEM_NOT_POSSIBLE_ALERT,"Per rimuovere {0}, questa abilità deve prima essere revocata.","{0}=chip to remove"
UI_NO_CHIP_IN_INVENTORY_ALERT,"Non ha un chip nel tuo inventario.",""
UI_SELECT_CHIP_HEADLINE,"Seleziona Chip",""
UI_EQUIP_CHIP_LEVEL_REQUIREMENT_NOT_MET,"Questo Chip richede il livello {0} e non può essere ancora equipaggiato","{0}=level"
UI_EQUIP_CHIP_LEVEL_LIMIT_EXCEEDED,"Non posso equipaggiare più di {0} Chip per questo tipo","{0}=limit"
UI_SELECT_MOD_HEADLINE,"Seleziona Mod",""
UI_NO_FITTING_MOD_IN_INVENTORY,"You do not have a fitting Mod in your inventory",""
UI_NO_MOD_IN_INVENTORY,"You do not have a Mod in your inventory",""
UI_EQUIP_MOD_LEVEL_REQUIREMENT_NOT_MET,"This Mod requires Level {0} and cannot be equipped yet","{0}=level"
UI_YOU_NEED_TO_FIND_CRAFTING_MANUAL,"You need to find the Crafting Manual first.",""
UI_POWER_REPORT,"Power Report",""
UI_SEARCH,"Search",""
UI_MOVE,"Move",""
UI_ITEMS_STASHED,"{0} stashed","{0}=item(s) stashed, e.g. 2x Blank Dice"
UI_MOD_LEVEL_UP,"Your {0} Mod is now Level {1}.","{0}=mod-item, {1}=level"
UI_BOON_CHOOSE,"Choosing this Boon will grant",""
UI_BOON_CHOSEN,"You have currently chosen this Boon",""
UI_CHIP_SOCKET_DESCRIPTION,"A Chip can be placed into this socket",""
UI_MOD_SOCKET_DESCRIPTION,"A Mod can be placed into this socket",""
UI_FIELD_MOD_SOCKET_DESCRIPTION,"A Field Mod can be placed into this socket",""
UI_WHEEL_OF_FORTUNE_CRAFTING_AVAILABLE,"Wheel of Fortune available",""
UI_CRAFT_BUTTON,"Craft",""
UI_DISCARD_CHANGES_HEADLINE,"Discard Changes",""
UI_DISCARD_CHANGES_DESCRIPTION,"Are you sure you want to discard the changes made to the skill tree?",""
UI_PLAY_ALONE_BUTTON,"Play alone",""
UI_WAIT_FOR_OTHER_PLAYER_HEADLINE,"Waiting for other player",""
UI_WAIT_FOR_OTHER_PLAYER_DESCRIPTION,"Waiting for other player to start mission.",""
UI_INVITE_BUTTON,"Invite","Button to invite another player to play together"
UI_INVITE_SENT_HEADLINE,"Invite Sent",""
UI_INVITE_SENT_DESCRIPTION,"{0} is not playing Astroloot right now, sent invite message:\n{1}","{0}=friend, {1}=message"
UI_DEATH_SCREEN_HEADLINE,"This is not how the story ends",""
UI_DEATH_SCREEN_DAMAGE_TAKEN,"Damage taken",""
UI_DEATH_SCREEN_DESTROYED_BY,"Destroyed by",""
UI_DEATH_SCREEN_CORRUPTED_AREA,"Corrupted Area",""
UI_DEATH_SCREEN_FINAL_BLOW,"Final Blow",""
UI_RETRY_MISSION_BUTTON,"Retry Mission",""
UI_WATCH_REPLAY_BUTTON,"Watch Replay",""
UI_DEATH_HINT_GUARDIANS_ONE,"The strength of {0} Guardian flows through you",""
UI_DEATH_HINT_GUARDIANS_MANY,"The strength of {0} Guardians flows through you",""
UI_DEATH_HINT_DICE,"Dice can be used to craft powerful items",""
UI_DEATH_HINT_TRADE,"From time to time, Carlo has items in his shop that may help you",""
UI_DEATH_HINT_RESISTANCE,"Higher {0} reduces the {1} you take","{0}=resistance, {1}=damage"
UI_DEATH_HINT_DEFENSE,"Shields and Cores with good rolls can boost your defense significantly",""
UI_DEATH_HINT_WHEEL_OF_FORTUNE,"The {0} can augment Plasma or Solar Dice crafting","{0}=Wheel of Fortune"
UI_DEATH_HINT_DAMAGE,"Synergies of weapons and skill tree nodes can lead to devastating damage",""
UI_DEATH_HINT_COOP_ITEMS,"You can give items to your co-op partner by dropping them on the ground",""
UI_NETWORK_CONNECTING_WITH_FRIEND,"Connecting with {0}","{0}=player"
UI_NETWORK_CONNECTION_FAILED,"Failed to establish connection",""
UI_NETWORK_NOW_PLAYING_WITH,"Now playing with {0}","{0}=player"
UI_NETWORK_LOST_CONNECTION_TO,"Lost connection to {0}","{0}=player"
UI_NETWORK_MISSION_START_ABORTED,"{0} no longer wants to start mission: {1}","{0}=player, {1}=mission"
UI_NETWORK_MISSION_REJECTED,"{0} rejected to play this mission","{0}=player"
UI_NETWORK_MISSION_NOT_POSSIBLE,"{0} does not have the required quest state to play this mission","{0}=player"
UI_NETWORK_FRIEND_DROPPED_ITEM,"{0} dropped {1}","{0}=player, {1}=item"
UI_NETWORK_FRIEND_TOOK_ITEM,"{0} took {1}","{0}=player, {1}=item"
UI_NETWORK_FRIEND_ITEM_OWNER_LEFT,"The friend this item belongs to has left",""
UI_NETWORK_FRIEND_ITEM_RECEIVER_LEFT,"The friend this item was shared with has left",""
UI_NETWORK_YOU_ARE_ON_YOUR_OWN,"You are on your own",""
UI_NETWORK_PARTY_INVITE_MESSAGE,"Sent you a party invite.",""
UI_NETWORK_MISSION_INVITE_MESSAGE,"Wants to start mission {0}.","{0}=mission name"
UI_NETWORK_CONNECTED_TO_PLAYER,"You are connected to {0}.","{0}=player name"
UI_NETWORK_LOST_CONNECTION_TO_PLAYER,"Lost connection to {0}.","{0}=player name"
UI_NETWORK_CLICK_TO_RECONNECT,"Click to reconnect.",""
UI_NETWORK_SEARCH_ERROR,"An error occurred during network search.\nError Message:\n{0}","{0}=message"
UI_NETWORK_SEARCH_LOCAL,"Find a friend in your local network to play with.",""
UI_NETWORK_SEARCH_LOCAL_SEARCHING,"Searching for a friend in your local network.\nTo be found, your friend also needs to search.",""
UI_NETWORK_SEARCH_ESTABLISHING_CONNECTION,"Establishing connection...",""
UI_NETWORK_DISCONNECT_BUTTON,"Disconnect",""
UI_NETWORK_START_SEARCH_BUTTON,"Start Search",""
UI_NETWORK_STOP_SEARCH_BUTTON,"Stop Search",""
UI_NETWORK_DISMISS_ERROR_BUTTON,"Dismiss",""
UI_SCREENSHOT_SAVED,"Written screenshot to {0}",""
UI_NOTIFICATION_TURTLE_EGG,"Turtle Egg!",""
UI_NOTIFICATION_EXHAUSTED,"Exhausted!",""
UI_NOTIFICATION_INCREASED_DAMAGE,"{0} Damage","{0}=percentage with sign"
UI_NOTIFICATION_LEVEL_UP,"Level {0}","{0}=new player level"
UI_NOTIFICATION_POWER_UP_DASH,"{0} Dash","{0}=percentage with sign"
UI_NOTIFICATION_POWER_UP_DEFENCE,"{0} Armor and Deflector Shield","{0}=percentage with sign"
UI_NOTIFICATION_POWER_UP_ATTACK_SPEED,"{0} Attack Speed","{0}=percentage with sign"
UI_NOTIFICATION_POWER_UP_EXPERIENCE,"Gain {0} increased Experience","{0}=percentage"
